scenario,date,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,start_soc_kwh,end_soc_kwh
problem2,2025-03-20,41419.24439425641,0.0,759.5028946433517,42178.747288899765,68228.64521276558,108.87369475965477,21141.642994375088,17124.73082544382,10800.0,10800.0
problem2,2025-06-21,25669.21110699433,0.0,0.0,25669.21110699433,43866.18324392463,0.0,16403.437318573415,13286.78422804447,10800.0,10800.0
problem2,2025-09-23,41781.55493464769,0.0,3781.1159698661118,45562.670904513805,67409.24559234071,576.447577932445,21581.276448577308,17448.9504475796,10728.918821267089,10764.344905453785
problem2,2025-12-21,55595.289075408364,0.0,28915.03024301987,84510.31931842823,88870.33981339926,4731.975887686467,23708.50106681493,19316.632002300255,10800.0,10674.726513133157
problem3,2025-03-20,43434.59119417399,1777.7859820472781,0.0,45212.37717622127,67883.86096424673,0.0,21468.46228445005,17389.454450404544,10800.0,10800.0
problem3,2025-06-21,25553.693460122602,-653.9168167651162,0.0,24899.776643357487,40861.01196203067,0.0,18160.18666728714,13959.353836295802,9966.225150881353,10800.0
problem3,2025-09-23,45263.02152083427,698.1586108147188,42.9961875,46004.17631914899,69076.75578678094,6.375,20455.587855898695,16569.026163277947,10800.0,10800.0
problem3,2025-12-21,55554.35623663514,16319.610256068312,1504.9782273047126,73378.94472000816,100384.81001573951,305.57372450448634,23828.767311805586,19206.010348712873,10694.120917944821,10800.0
problem4_2,2025-03-20,42271.240747726486,0.0,656.2783069747683,42927.51905470125,68229.05680749682,99.22562851145574,21093.029986391077,17085.354288976774,10800.0,10800.0
problem4_2,2025-06-21,22449.11021717706,0.0,0.0,22449.11021717706,44024.516577257964,0.0,17143.72788517105,13886.419586988552,10800.0,10800.0
problem4_2,2025-09-23,43813.60477573593,0.0,3737.364754814758,47550.96953055068,67409.24559234071,569.5603898468593,21545.028090232096,17419.589277319974,10728.918821267089,10764.344905453785
problem4_2,2025-12-21,64909.56926045552,0.0,33502.52328245931,98412.09254291483,88760.96720313563,4717.261313070708,23098.644891338045,18801.065299845777,10800.0,10698.707846820042
problem4_3,2025-03-20,44437.20678946361,1762.3955680110653,0.0,46199.60235747468,67883.86096424673,0.0,21405.756956049037,17338.66313439973,10800.0,10800.0
problem4_3,2025-06-21,22368.84723358794,-492.302031129458,0.0,21876.545202458485,41019.34529536401,0.0,19028.30542389209,14662.530029145808,9966.225150881353,10800.0
problem4_3,2025-09-23,47448.10584661429,806.3884083111395,66.27264135000087,48320.76689627543,69083.45190231781,10.234366666666801,20445.40896003456,16560.781257627998,10800.0,10800.0
problem4_3,2025-12-21,64888.934449450186,18977.49884393676,2070.9316584622484,85937.36495184919,100338.3366490867,305.57372450448713,23477.72725585711,18921.667903394606,10694.120917944821,10800.0
