scenario,date,start_interval,end_interval_exclusive,time_range,amount_kwh
problem2,2025-02-02,123,124,20:30-20:40,34.84788500914783
problem2,2025-02-09,35,37,05:50-06:10,54.166176874547205
problem2,2025-02-09,61,65,10:10-10:50,646.4587368222857
problem2,2025-02-09,119,131,19:50-21:50,3376.9481258540573
problem2,2025-02-16,35,39,05:50-06:30,145.51555000000008
problem2,2025-02-16,54,65,09:00-10:50,2441.6853603549184
problem2,2025-02-16,119,131,19:50-21:50,3132.418236491519
problem2,2025-02-19,38,39,06:20-06:30,50.05068845276105
problem2,2025-02-19,128,129,21:20-21:30,3.7544438426423996
problem2,2025-02-20,36,37,06:00-06:10,14.185289124078281
problem2,2025-02-23,35,38,05:50-06:20,94.49600000000021
problem2,2025-02-23,54,64,09:00-10:40,1863.4234985564042
problem2,2025-02-23,121,131,20:10-21:50,2332.0521433224258
problem2,2025-02-24,36,37,06:00-06:10,13.290891140946542
problem2,2025-02-24,125,126,20:50-21:00,10.167333472738665
problem2,2025-02-25,35,36,05:50-06:00,32.63818311470584
problem2,2025-02-25,38,39,06:20-06:30,26.620571822937563
problem2,2025-02-26,123,124,20:30-20:40,238.4379694155727
problem2,2025-02-27,36,37,06:00-06:10,4.816701799138286
problem2,2025-02-27,57,62,09:30-10:20,438.42066303380903
problem2,2025-03-02,59,64,09:50-10:40,274.74927287112956
problem2,2025-03-02,114,131,19:00-21:50,7414.23243552
problem2,2025-03-03,61,64,10:10-10:40,225.13835860522863
problem2,2025-03-03,122,127,20:20-21:10,988.7468282931817
problem2,2025-03-03,128,131,21:20-21:50,39.25611096669288
problem2,2025-03-05,35,36,05:50-06:00,3.286666666666747
problem2,2025-03-06,123,126,20:30-21:00,108.3207218085438
problem2,2025-03-09,53,61,08:50-10:10,951.9190873916278
problem2,2025-03-09,121,131,20:10-21:50,1839.8329247502372
problem2,2025-03-10,122,124,20:20-20:40,822.730924927043
problem2,2025-03-13,64,65,10:40-10:50,52.26095023505536
problem2,2025-03-13,121,125,20:10-20:50,1913.8227772484902
problem2,2025-03-16,35,36,05:50-06:00,1.6400000000001
problem2,2025-03-16,50,56,08:20-09:20,1261.3858869200953
problem2,2025-03-16,120,127,20:00-21:10,2861.040619874111
problem2,2025-03-16,128,131,21:20-21:50,108.67569885990403
problem2,2025-03-18,54,60,09:00-10:00,625.8943900303709
problem2,2025-03-20,123,124,20:30-20:40,108.87369475965477
