date,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,initial_purchase_kwh,final_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtail_kwh,start_soc_kwh,end_soc_kwh
2025-02-01,32687.196365900803,-3615.2551001129586,0.0,29071.941265787846,61170.517865084024,48915.69646099553,0.0,24218.03406877083,15296.607595704374,5616.094054595746,6000.0,10800.0
2025-02-02,55971.78954960586,3447.9971033731285,0.0,59419.78665297899,89591.48164053782,88641.69864937896,0.0,22464.52588283407,18196.265965095597,6017.16078164048,10800.0,10800.0
2025-02-03,61751.78272114536,-1924.8057650107066,0.0,59826.976956134655,96986.15355938463,89781.90414960973,0.0,22302.316560603846,18064.876414089114,5327.547503095024,10800.0,10800.0
2025-02-04,62621.106442699645,-1404.0989071081387,0.0,61217.0075355915,97800.83070064272,89697.08609966807,0.0,22653.840840128338,18349.611080503957,4197.9923900437025,10800.0,10800.0
2025-02-05,58073.79701748381,67.33580995088954,0.0,58141.1328274347,91595.81143938395,88889.49393946436,0.0,22733.552688935186,18414.1776780375,3821.691945233356,10800.0,10800.0
2025-02-06,62048.711775197866,-2144.3892381914825,122.98032063333395,60027.30285763971,97506.82362353095,88371.69189982497,21.052866666666773,22844.028874935848,18503.663388698045,3781.3220635871658,10800.0,10800.0
2025-02-07,33876.50348098008,-5998.819013256154,6688.873008326842,34566.557476050766,60092.839426071434,43337.43597435608,1311.9916114121004,17412.99755676737,14911.202510847555,10341.9528731817,10800.0,9903.695011260017
2025-02-08,23964.92116454437,-889.7694765092407,18.57159965000937,23093.723287685134,44717.979430221385,41581.546424751934,3.038050000001533,19907.80406969114,15372.44109984079,5472.058788234923,9903.695011260017,10740.228563047827
2025-02-09,51243.18515615082,8026.707278384984,0.0,59269.89243453581,82548.20991629612,88477.69309140346,0.0,22128.89160918635,17870.60791018399,4663.99342573446,10740.228563047827,10800.0
2025-02-10,54548.83496644534,1106.3107912215141,0.0,55655.145757666854,86912.02293314709,82211.69508053648,0.0,22808.641360523274,18474.99950202385,3551.4156387037256,10800.0,10800.0
