date,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,initial_purchase_kwh,final_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtail_kwh,start_soc_kwh,end_soc_kwh
2025-02-01,26134.364246668687,0.0,0.0,26134.364246668687,59921.378044924466,59921.378044924466,0.0,21685.22825654382,13245.034887800499,17103.00874284782,6000.0,10800.0
2025-02-02,61227.54062811025,0.0,238.52428864945932,61466.06491675971,88191.33046354656,88191.33046354656,37.63399947135679,21679.824639408707,17560.657957921052,5753.519831530281,10800.0,10800.0
2025-02-03,66175.62758902661,0.0,0.0,66175.62758902661,92415.98517563153,92415.98517563153,0.0,21208.999120490174,17179.28928759704,8169.358842738393,10800.0,10800.0
2025-02-04,65807.87625457141,0.0,0.0,65807.87625457141,91905.8177295774,91905.8177295774,0.0,22292.768561730296,18057.14253500154,6475.3277528486415,10800.0,10800.0
2025-02-05,65195.96461803961,0.0,0.0,65195.96461803961,91474.00118698433,91474.00118698433,0.0,22842.149853285773,18502.141381161477,6385.5657315267,10800.0,10800.0
2025-02-06,64748.732821678765,0.0,0.0,64748.732821678765,91245.97384152155,91245.97384152155,0.0,22180.69838206745,17966.36568947464,6760.583932262076,10800.0,10800.0
2025-02-07,26191.73006219865,0.0,0.0,26191.73006219865,57719.70385119342,57719.70385119342,0.0,15526.29759307679,12576.301050392203,22964.02764184217,10800.0,10800.0
2025-02-08,20830.144318247585,0.0,0.0,20830.144318247585,48550.238519207094,48550.238519207094,0.0,17472.087447624,14152.39083257544,13653.379187491873,10800.0,10800.0
2025-02-09,54059.269808340614,0.0,25055.10913111524,79114.37893945586,79608.30740018598,79608.30740018598,4071.517741546539,21352.191658580185,17349.968872310194,122.18638879587189,10800.0,10739.229301266401
2025-02-10,60278.4226799805,0.0,0.0,60278.4226799805,88274.01621008167,88274.01621008167,0.0,19833.84953463276,16010.7244941923,10124.253586307866,10739.229301266401,10800.0
2025-02-11,58802.93845858737,0.0,0.0,58802.93845858737,85698.15939119902,85698.15939119902,0.0,21307.0166709907,17258.683503502467,6429.229090377457,10800.0,10800.0
2025-02-12,58275.5165681899,0.0,0.0,58275.5165681899,85282.52058354537,85282.52058354537,0.0,21233.561514282752,17199.184826569028,5981.407762498325,10800.0,10800.0
2025-02-13,57197.73356108032,0.0,0.0,57197.73356108032,84681.57399495029,84681.57399495029,0.0,18991.39054590311,15383.026342181518,9743.730774562033,10800.0,10800.0
2025-02-14,22977.404551905136,0.0,0.0,22977.404551905136,51536.330313778366,51536.330313778366,0.0,15225.663186788192,12332.787181298432,18841.652491621946,10800.0,10800.0
2025-02-15,19089.550985874565,0.0,0.0,19089.550985874565,43560.51433616819,43560.51433616819,0.0,16998.95932820066,13769.157055842536,11050.620963810063,10800.0,10800.0
2025-02-16,48252.094168567695,0.0,33907.232899175404,82159.3270677431,73477.67762024613,73477.67762024613,5723.9062949828,20874.620767561144,17063.51929588132,13.103343549129136,10800.0,10627.69280649245
2025-02-17,55407.46823098103,0.0,0.0,55407.46823098103,81954.24764878118,81954.24764878118,0.0,19644.195170642128,15756.721614063332,6882.910925535725,10627.69280649245,10800.0
2025-02-18,52920.30191264005,0.0,0.0,52920.30191264005,79814.96156807992,79814.96156807992,0.0,21172.27373181421,17149.54172276951,3700.841775701888,10800.0,10800.0
2025-02-19,53087.96946470119,0.0,18.254105962927348,53106.22357066412,80041.05695867316,80041.05695867316,3.7544438426423996,22563.92383109251,18401.90180421251,3003.461992302482,10800.0,10660.973887747132
2025-02-20,53432.645473892146,0.0,79.58656463064119,53512.23203852279,80259.65840385298,80259.65840385298,14.185289124078281,22541.589667210912,18133.564129413262,4872.684421846069,10660.973887747132,10800.0
2025-02-21,20946.68044527114,0.0,0.0,20946.68044527114,47237.989652946766,47237.989652946766,0.0,15634.76975462329,12664.163501244862,18707.12136623501,10800.0,10800.0
2025-02-22,17285.789194671815,0.0,0.0,17285.789194671815,39667.504737466916,39667.504737466916,0.0,18421.03479991902,14921.038187934406,8322.745242148974,10800.0,10800.0
2025-02-23,45856.46679955065,0.0,25196.586900268503,71053.05369981915,71084.33402424154,71084.33402424154,4301.407115700175,21050.348070878514,17267.93350618212,71.47289191199548,10800.0,10558.720479143867
2025-02-24,50941.889487801425,0.0,125.02844645264116,51066.91793425407,77475.65593390772,77475.65593390772,25.220431276279623,20674.69450713402,16529.35098200803,5152.499223391352,10558.720479143867,10800.0
2025-02-25,49297.509052352354,0.0,136.61677459531558,49434.12582694767,76231.19156408231,76231.19156408231,26.620571822937563,20852.917237203845,16890.862962135106,6474.434627503184,10800.0,10800.0
2025-02-26,48485.867015968906,0.0,1561.1560816869849,50047.02309765589,74129.16580238423,74129.16580238423,242.0584668093627,21400.10567816983,17334.085599317557,1490.3561570079999,10800.0,10800.0
2025-02-27,47783.08241042454,0.0,2291.3337500698726,50074.41616049441,75317.42242704579,75317.42242704579,436.0430621551679,22867.34538879332,18522.54976492259,4452.085665330244,10800.0,10800.0
2025-02-28,18414.878354024695,0.0,0.0,18414.878354024695,42581.69098884519,42581.69098884519,0.0,16717.87146090535,13541.475883333333,16112.701861273175,10800.0,10800.0
