date,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,initial_purchase_kwh,final_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtail_kwh,start_soc_kwh,end_soc_kwh
2025-02-01,25868.689328172863,0.0,0.0,25868.689328172863,59921.378044924466,59921.378044924466,0.0,21679.541484511472,13240.428602454296,17104.08922953396,6000.0,10800.0
2025-02-02,60926.67332960737,0.0,247.51536350473026,61174.188693112104,88617.60787943448,88617.60787943448,39.0525975867356,24226.867558178892,19623.762722124906,5697.27769096723,10800.0,10800.0
2025-02-03,65871.06455856015,0.0,0.0,65871.06455856015,92316.30885928127,92316.30885928127,0.0,21343.94258210242,17288.59349150296,8044.0432686818185,10800.0,10800.0
2025-02-04,65569.51998569729,0.0,0.0,65569.51998569729,92179.49503322944,92179.49503322944,0.0,23783.587123198085,19264.705569790454,6465.7495298217955,10800.0,10800.0
2025-02-05,65024.8939632367,0.0,0.0,65024.8939632367,91669.27052953326,91669.27052953326,0.0,24064.997254153197,19492.647775864087,6348.494067910819,10800.0,10800.0
2025-02-06,64438.87876147247,0.0,0.0,64438.87876147247,91249.50076643527,91249.50076643527,0.0,22477.954387675676,18207.143054017302,6707.632216110236,10800.0,10800.0
2025-02-07,25997.07893595362,0.0,0.0,25997.07893595362,58298.559640561536,58298.559640561536,0.0,18103.06152009625,14663.47983127796,23053.298285076587,10800.0,10800.0
2025-02-08,20683.2866265211,0.0,0.0,20683.2866265211,48682.1868656889,48682.1868656889,0.0,18096.530325829655,14658.18956392202,13666.683387114592,10800.0,10800.0
2025-02-09,53979.80523028948,0.0,25367.75828255264,79347.56351284211,79733.09504199895,79733.09504199895,4148.975811130682,21941.08523637524,17833.265326114408,218.83497620214678,10800.0,10732.237461499488
2025-02-10,60130.32711513014,0.0,0.0,60130.32711513014,88281.78492093377,88281.78492093377,0.0,20767.904326468575,16761.01621978909,9948.259230920967,10732.237461499488,10800.0
2025-02-11,58569.54647721875,0.0,0.2742808680462517,58569.8207580868,85742.63975728257,85742.63975728257,0.0516196232325683,21897.75391904325,17737.180674425035,6361.520998954259,10800.0,10800.0
2025-02-12,58070.836161711464,0.0,0.0,58070.836161711464,85478.1773878414,85478.1773878414,0.0,22345.282626424683,18099.678927403995,5965.837555487365,10800.0,10800.0
2025-02-13,57047.26872848225,0.0,0.0,57047.26872848225,84988.77325837151,84988.77325837151,0.0,21790.850188889533,17650.58865300053,9519.032705815845,10800.0,10800.0
2025-02-14,22877.42664204237,0.0,0.0,22877.42664204237,51536.330313778366,51536.330313778366,0.0,15269.106892335534,12367.97658279178,18833.39818756795,10800.0,10800.0
2025-02-15,19066.050777363063,0.0,0.0,19066.050777363063,43831.47293450812,43831.47293450812,0.0,18296.597507194856,14820.24398082783,11075.028308141098,10800.0,10800.0
2025-02-16,48199.51021214578,0.0,34332.14153227852,82531.6517444243,73593.93649562348,73593.93649562348,5725.457362671134,21464.012544470133,17565.76168474022,43.7638985647086,10800.0,10600.098306978427
2025-02-17,55168.498846024115,0.0,0.0,55168.498846024115,82346.82922860788,82346.82922860788,0.0,22220.556842055714,17818.739518345712,6761.148738231214,10600.098306978427,10800.0
2025-02-18,52792.59323533029,0.0,0.0,52792.59323533029,80187.78836401043,80187.78836401043,0.0,23677.421806844977,19178.711663544433,3597.690437376552,10800.0,10800.0
2025-02-19,52802.6887295231,0.0,271.4749341677759,53074.16366369087,80662.32183257712,80662.32183257712,50.05068845276105,25967.114890924247,21137.90000606492,3003.830252837212,10800.0,10683.847839537464
2025-02-20,53212.058675901666,0.0,79.58656463064119,53291.64524053231,80173.8610990057,80173.8610990057,14.185289124078281,22676.733422095993,18263.617127481477,4781.796360181941,10683.847839537464,10800.0
2025-02-21,20843.50458103437,0.0,0.0,20843.50458103437,47451.32668154755,47451.32668154755,0.0,16600.70733191,13446.572938847099,18736.930255151325,10800.0,10800.0
2025-02-22,17206.034701367258,0.0,0.0,17206.034701367258,40142.504737466916,40142.504737466916,0.0,20875.873212837934,16909.45730239873,8331.325943694379,10800.0,10800.0
2025-02-23,45636.74810491459,0.0,25222.391808063818,70859.13991297841,71234.62304509102,71234.62304509102,4299.871591843349,21833.261212945137,17902.093151256086,71.47289191199548,10800.0,10558.720479143867
2025-02-24,50747.48410306286,0.0,126.82525901161259,50874.30936207447,77923.63341908273,77923.63341908273,25.59570541140315,23551.372630998427,18859.4602623382,5054.28313916725,10558.720479143867,10800.0
2025-02-25,49058.55158895365,0.0,306.5148367989168,49365.066425752564,76156.14733030589,76156.14733030589,59.2587549376434,21242.656721039155,17206.551944041716,6357.978074912762,10800.0,10800.0
2025-02-26,48245.73164962749,0.0,1585.3575697882752,49831.089219415764,74445.8324690509,74445.8324690509,245.8109263955772,23182.089497843906,18777.492493253565,1472.1983575228087,10800.0,10800.0
2025-02-27,47595.09940690402,0.0,2577.470659438158,50172.570066342174,75634.08909371246,75634.08909371246,487.30217768730483,24588.79712769073,19916.92567342949,4492.93561713854,10800.0,10800.0
2025-02-28,18335.17117956942,0.0,0.0,18335.17117956942,42852.86155026863,42852.86155026863,0.0,18034.881924400805,14608.254358764658,16133.640434632476,10800.0,10800.0
2025-03-01,15842.33404696808,0.0,0.0,15842.33404696808,38063.22362102988,38063.22362102988,0.0,19924.8528496901,16139.130808248985,10618.735646255429,10800.0,10800.0
2025-03-02,43011.413190221174,0.0,48887.133746420004,91898.54693664119,68409.9192392612,68409.9192392612,7773.649596801488,20599.391473155418,16910.09014029897,135.96043653957895,10800.0,10550.463281063245
2025-03-03,49539.677507351385,0.0,7909.610317667673,57449.287825019055,76868.85326224752,76868.85326224752,1279.304153192789,25162.992844288106,20226.880960488146,1194.8988983070203,10550.463281063245,10722.844662602376
2025-03-04,49984.47763872365,0.0,0.0,49984.47763872365,77028.82883206426,77028.82883206426,0.0,23015.234029050138,18572.899759872744,3387.0366295535405,10722.844662602376,10800.0
2025-03-05,48563.44774214686,0.0,15.835160000000387,48579.282902146864,76326.32483061377,76326.32483061377,3.286666666666747,21603.349200624187,17498.712852505596,6094.503132495187,10800.0,10800.0
2025-03-06,47230.247323573945,0.0,1129.5007680039046,48359.74809157785,74386.80742458177,74386.80742458177,174.1562080965674,21438.21216575832,17364.95185426424,4547.049187850917,10800.0,10800.0
